Tool,dt_start,dt_end,Duration
Toggl Track,2021-04-23 09:05:10,2021-04-23 09:05:27,0 days 00:00:17
Slack,2021-04-23 09:05:34,2021-04-23 09:08:28,0 days 00:02:54
Slack,2021-04-23 09:09:06,2021-04-23 09:10:30,0 days 00:01:24
iTerm2,2021-04-23 09:10:51,2021-04-23 09:12:26,0 days 00:01:35
GitHub,2021-04-23 09:12:19,2021-04-23 09:12:34,0 days 00:00:15
iTerm2,2021-04-23 09:13:21,2021-04-23 09:13:36,0 days 00:00:15
iTerm2,2021-04-23 09:13:36,2021-04-23 09:14:52,0 days 00:01:16
Google Chrome,2021-04-23 09:15:09,2021-04-23 09:17:06,0 days 00:01:57
iTerm2,2021-04-23 09:17:06,2021-04-23 09:17:27,0 days 00:00:21
Slack,2021-04-23 09:17:30,2021-04-23 09:19:22,0 days 00:01:52
Microsoft Outlook,2021-04-23 09:19:37,2021-04-23 09:20:11,0 days 00:00:34
GitHub,2021-04-23 09:20:14,2021-04-23 09:21:25,0 days 00:01:11
Slack,2021-04-23 09:22:08,2021-04-23 09:22:26,0 days 00:00:18
Gitter,2021-04-23 09:22:43,2021-04-23 09:22:57,0 days 00:00:14
Toggl Track,2021-04-23 09:28:05,2021-04-23 09:28:39,0 days 00:00:34
GitHub,2021-04-23 09:28:54,2021-04-23 09:29:41,0 days 00:00:47
GitHub,2021-04-23 09:29:41,2021-04-23 09:30:23,0 days 00:00:42
GitHub,2021-04-23 09:30:25,2021-04-23 09:30:38,0 days 00:00:13
GitHub,2021-04-23 09:30:38,2021-04-23 09:31:43,0 days 00:01:05
Slack,2021-04-23 09:31:12,2021-04-23 09:36:24,0 days 00:05:12
iTerm2,2021-04-23 09:31:37,2021-04-23 09:34:30,0 days 00:02:53
Microsoft Outlook,2021-04-23 09:39:21,2021-04-23 09:39:40,0 days 00:00:19
Microsoft Outlook,2021-04-23 09:39:40,2021-04-23 09:39:59,0 days 00:00:19
Google Chrome,2021-04-23 09:40:46,2021-04-23 09:41:16,0 days 00:00:30
Slack,2021-04-23 09:41:23,2021-04-23 09:41:50,0 days 00:00:27
Slack,2021-04-23 09:41:53,2021-04-23 09:42:12,0 days 00:00:19
Google Chrome,2021-04-23 09:43:39,2021-04-23 09:44:30,0 days 00:00:51
Azure,2021-04-23 09:44:49,2021-04-23 09:45:12,0 days 00:00:23
GitHub,2021-04-23 09:45:24,2021-04-23 09:45:34,0 days 00:00:10
Slack,2021-04-23 09:45:37,2021-04-23 09:54:13,0 days 00:08:36
Azure,2021-04-23 09:51:03,2021-04-23 09:52:25,0 days 00:01:22
Azure,2021-04-23 09:53:28,2021-04-23 09:55:42,0 days 00:02:14
Google Chrome,2021-04-23 09:59:41,2021-04-23 10:00:00,0 days 00:00:19
Azure,2021-04-23 10:00:14,2021-04-23 10:00:52,0 days 00:00:38
Slack,2021-04-23 10:00:55,2021-04-23 10:02:20,0 days 00:01:25
Slack,2021-04-23 10:01:17,2021-04-23 10:02:23,0 days 00:01:06
Google Chrome,2021-04-23 10:02:29,2021-04-23 10:02:57,0 days 00:00:28
Lens,2021-04-23 10:03:19,2021-04-23 10:04:30,0 days 00:01:11
VSCode,2021-04-23 10:04:36,2021-04-23 10:04:51,0 days 00:00:15
Finder,2021-04-23 10:04:54,2021-04-23 10:05:13,0 days 00:00:19
Todoist,2021-04-23 10:05:13,2021-04-23 10:05:59,0 days 00:00:46
Toggl Track,2021-04-23 10:05:59,2021-04-23 10:06:10,0 days 00:00:11
VSCode,2021-04-23 10:06:10,2021-04-23 10:06:41,0 days 00:00:31
Google Chrome,2021-04-23 10:06:51,2021-04-23 10:07:04,0 days 00:00:13
GitHub,2021-04-23 10:07:08,2021-04-23 10:07:24,0 days 00:00:16
VSCode,2021-04-23 10:07:38,2021-04-23 10:07:48,0 days 00:00:10
VSCode,2021-04-23 10:07:48,2021-04-23 10:07:59,0 days 00:00:11
VSCode,2021-04-23 10:07:59,2021-04-23 10:10:01,0 days 00:02:02
iTerm2,2021-04-23 10:10:40,2021-04-23 10:12:12,0 days 00:01:32
Slack,2021-04-23 10:12:52,2021-04-23 10:14:42,0 days 00:01:50
Slack,2021-04-23 10:15:10,2021-04-23 10:24:33,0 days 00:09:23
Google Chrome,2021-04-23 10:17:49,2021-04-23 10:18:09,0 days 00:00:20
Google Chrome,2021-04-23 10:18:09,2021-04-23 10:18:23,0 days 00:00:14
Google Chrome,2021-04-23 10:24:20,2021-04-23 10:25:16,0 days 00:00:56
Slack,2021-04-23 10:25:24,2021-04-23 10:26:02,0 days 00:00:38
Azure,2021-04-23 10:26:25,2021-04-23 10:27:43,0 days 00:01:18
Slack,2021-04-23 10:28:45,2021-04-23 10:30:22,0 days 00:01:37
Slack,2021-04-23 10:30:22,2021-04-23 10:31:13,0 days 00:00:51
Slack,2021-04-23 10:30:48,2021-04-23 10:35:12,0 days 00:04:24
Slack,2021-04-23 10:31:47,2021-04-23 10:33:05,0 days 00:01:18
iTerm2,2021-04-23 10:35:36,2021-04-23 10:36:14,0 days 00:00:38
iTerm2,2021-04-23 10:37:56,2021-04-23 10:38:17,0 days 00:00:21
iTerm2,2021-04-23 10:38:17,2021-04-23 10:38:44,0 days 00:00:27
iTerm2,2021-04-23 10:39:06,2021-04-23 10:39:31,0 days 00:00:25
Azure,2021-04-23 10:39:31,2021-04-23 10:40:32,0 days 00:01:01
GitHub,2021-04-23 10:40:17,2021-04-23 10:41:14,0 days 00:00:57
GitHub,2021-04-23 10:41:14,2021-04-23 10:41:51,0 days 00:00:37
Slack,2021-04-23 10:41:31,2021-04-23 10:42:02,0 days 00:00:31
Google Chrome,2021-04-23 10:43:55,2021-04-23 10:44:38,0 days 00:00:43
Slack,2021-04-23 10:45:40,2021-04-23 10:45:50,0 days 00:00:10
Google Chrome,2021-04-23 10:46:07,2021-04-23 10:46:25,0 days 00:00:18
Google Chrome,2021-04-23 10:46:26,2021-04-23 10:47:24,0 days 00:00:58
Google Chrome,2021-04-23 10:47:24,2021-04-23 10:47:42,0 days 00:00:18
Azure,2021-04-23 10:47:51,2021-04-23 10:48:19,0 days 00:00:28
Toggl Track,2021-04-23 10:48:14,2021-04-23 10:48:26,0 days 00:00:12
Microsoft Outlook,2021-04-23 10:49:21,2021-04-23 10:54:29,0 days 00:05:08
Azure,2021-04-23 10:54:42,2021-04-23 10:55:21,0 days 00:00:39
Slack,2021-04-23 10:58:38,2021-04-23 11:00:55,0 days 00:02:17
Slack,2021-04-23 11:00:55,2021-04-23 11:04:34,0 days 00:03:39
Azure,2021-04-23 11:01:07,2021-04-23 11:01:42,0 days 00:00:35
Slack,2021-04-23 11:01:46,2021-04-23 11:01:59,0 days 00:00:13
Azure,2021-04-23 11:02:09,2021-04-23 11:03:12,0 days 00:01:03
Azure,2021-04-23 11:03:14,2021-04-23 11:03:48,0 days 00:00:34
VSCode,2021-04-23 11:08:14,2021-04-23 11:12:41,0 days 00:04:27
Google Chrome,2021-04-23 11:11:34,2021-04-23 11:12:00,0 days 00:00:26
VSCode,2021-04-23 11:13:18,2021-04-23 11:13:42,0 days 00:00:24
GitHub,2021-04-23 11:13:49,2021-04-23 11:14:01,0 days 00:00:12
GitHub,2021-04-23 11:14:01,2021-04-23 11:14:45,0 days 00:00:44
VSCode,2021-04-23 11:14:45,2021-04-23 11:15:15,0 days 00:00:30
Microsoft Outlook,2021-04-23 11:18:19,2021-04-23 11:18:29,0 days 00:00:10
GitHub,2021-04-23 11:18:35,2021-04-23 11:25:04,0 days 00:06:29
VSCode,2021-04-23 11:21:06,2021-04-23 11:26:06,0 days 00:05:00
Google Chrome,2021-04-23 11:22:14,2021-04-23 11:22:54,0 days 00:00:40
VSCode,2021-04-23 11:27:52,2021-04-23 11:28:35,0 days 00:00:43
Microsoft Outlook,2021-04-23 11:31:59,2021-04-23 11:32:43,0 days 00:00:44
Slack,2021-04-23 11:32:15,2021-04-23 11:32:46,0 days 00:00:31
Slack,2021-04-23 11:32:53,2021-04-23 11:33:06,0 days 00:00:13
Slack,2021-04-23 11:33:10,2021-04-23 11:33:28,0 days 00:00:18
Slack,2021-04-23 11:33:31,2021-04-23 11:33:50,0 days 00:00:19
Google Chrome,2021-04-23 11:33:57,2021-04-23 11:34:21,0 days 00:00:24
Google Chrome,2021-04-23 11:34:31,2021-04-23 11:34:55,0 days 00:00:24
Slack,2021-04-23 11:35:04,2021-04-23 11:35:17,0 days 00:00:13
Slack,2021-04-23 11:35:29,2021-04-23 11:43:41,0 days 00:08:12
Slack,2021-04-23 11:44:27,2021-04-23 11:46:54,0 days 00:02:27
Microsoft Outlook,2021-04-23 11:46:54,2021-04-23 11:47:09,0 days 00:00:15
GitHub,2021-04-23 11:47:14,2021-04-23 11:54:50,0 days 00:07:36
Slack,2021-04-23 11:49:31,2021-04-23 11:50:34,0 days 00:01:03
Microsoft Outlook,2021-04-23 11:50:35,2021-04-23 11:51:01,0 days 00:00:26
Slack,2021-04-23 11:53:05,2021-04-23 11:54:54,0 days 00:01:49
Google Chrome,2021-04-23 11:56:53,2021-04-23 11:57:05,0 days 00:00:12
Google Chrome,2021-04-23 11:57:10,2021-04-23 11:58:27,0 days 00:01:17
Slack,2021-04-23 11:59:58,2021-04-23 12:00:14,0 days 00:00:16
GitHub,2021-04-23 12:00:16,2021-04-23 12:02:24,0 days 00:02:08
Slack,2021-04-23 12:01:46,2021-04-23 12:03:13,0 days 00:01:27
Azure,2021-04-23 12:03:53,2021-04-23 12:04:35,0 days 00:00:42
GitHub,2021-04-23 12:05:05,2021-04-23 12:05:31,0 days 00:00:26
Slack,2021-04-23 12:05:18,2021-04-23 12:05:57,0 days 00:00:39
GitHub,2021-04-23 12:06:11,2021-04-23 12:06:21,0 days 00:00:10
GitHub,2021-04-23 12:06:21,2021-04-23 12:07:29,0 days 00:01:08
GitHub,2021-04-23 12:06:50,2021-04-23 12:07:00,0 days 00:00:10
Google Chrome,2021-04-23 12:07:08,2021-04-23 12:07:25,0 days 00:00:17
Slack,2021-04-23 13:15:08,2021-04-23 13:15:20,0 days 00:00:12
Slack,2021-04-23 13:15:22,2021-04-23 13:15:39,0 days 00:00:17
Slack,2021-04-23 13:15:40,2021-04-23 13:17:02,0 days 00:01:22
GitHub,2021-04-23 13:16:40,2021-04-23 13:18:29,0 days 00:01:49
Slack,2021-04-23 13:18:42,2021-04-23 13:18:53,0 days 00:00:11
Azure,2021-04-23 13:19:30,2021-04-23 13:20:19,0 days 00:00:49
Slack,2021-04-23 13:19:54,2021-04-23 13:24:41,0 days 00:04:47
Azure,2021-04-23 13:21:10,2021-04-23 13:22:00,0 days 00:00:50
Azure,2021-04-23 13:21:55,2021-04-23 13:22:19,0 days 00:00:24
iTerm2,2021-04-23 13:28:27,2021-04-23 13:29:08,0 days 00:00:41
Slack,2021-04-23 13:29:09,2021-04-23 13:29:22,0 days 00:00:13
Slack,2021-04-23 13:29:29,2021-04-23 13:30:40,0 days 00:01:11
Microsoft Outlook,2021-04-23 13:30:40,2021-04-23 13:31:22,0 days 00:00:42
Slack,2021-04-23 13:31:07,2021-04-23 13:35:04,0 days 00:03:57
iTerm2,2021-04-23 13:31:56,2021-04-23 13:33:49,0 days 00:01:53
Microsoft Outlook,2021-04-23 13:34:12,2021-04-23 13:34:27,0 days 00:00:15
VSCode,2021-04-23 13:35:03,2021-04-23 13:36:22,0 days 00:01:19
iTerm2,2021-04-23 13:37:42,2021-04-23 13:37:52,0 days 00:00:10
iTerm2,2021-04-23 13:37:55,2021-04-23 13:39:40,0 days 00:01:45
iTerm2,2021-04-23 13:38:14,2021-04-23 13:38:47,0 days 00:00:33
Travis,2021-04-23 13:38:57,2021-04-23 13:39:20,0 days 00:00:23
Google Chrome,2021-04-23 13:39:24,2021-04-23 13:39:40,0 days 00:00:16
Google Chrome,2021-04-23 13:41:33,2021-04-23 13:41:54,0 days 00:00:21
iTerm2,2021-04-23 13:42:09,2021-04-23 13:42:28,0 days 00:00:19
iTerm2,2021-04-23 13:42:28,2021-04-23 13:42:42,0 days 00:00:14
iTerm2,2021-04-23 13:43:50,2021-04-23 13:44:22,0 days 00:00:32
iTerm2,2021-04-23 13:45:20,2021-04-23 13:45:30,0 days 00:00:10
iTerm2,2021-04-23 13:45:47,2021-04-23 13:46:42,0 days 00:00:55
iTerm2,2021-04-23 13:46:07,2021-04-23 13:54:24,0 days 00:08:17
Microsoft Outlook,2021-04-23 13:47:59,2021-04-23 13:51:17,0 days 00:03:18
Google Chrome,2021-04-23 13:50:42,2021-04-23 13:50:52,0 days 00:00:10
iTerm2,2021-04-23 13:56:33,2021-04-23 13:56:44,0 days 00:00:11
iTerm2,2021-04-23 13:58:04,2021-04-23 13:58:15,0 days 00:00:11
GitHub,2021-04-23 14:01:00,2021-04-23 14:01:11,0 days 00:00:11
iTerm2,2021-04-23 14:01:11,2021-04-23 14:02:34,0 days 00:01:23
Microsoft Outlook,2021-04-23 14:02:58,2021-04-23 14:03:21,0 days 00:00:23
Finder,2021-04-23 14:03:29,2021-04-23 14:05:15,0 days 00:01:46
iTerm2,2021-04-23 14:05:31,2021-04-23 14:13:18,0 days 00:07:47
VSCode,2021-04-23 14:08:00,2021-04-23 14:08:20,0 days 00:00:20
Slack,2021-04-23 14:11:36,2021-04-23 14:11:47,0 days 00:00:11
Slack,2021-04-23 14:13:49,2021-04-23 14:14:01,0 days 00:00:12
Microsoft Outlook,2021-04-23 14:15:26,2021-04-23 14:16:28,0 days 00:01:02
GitHub,2021-04-23 14:16:09,2021-04-23 14:16:27,0 days 00:00:18
GitHub,2021-04-23 14:16:42,2021-04-23 14:16:59,0 days 00:00:17
GitHub,2021-04-23 14:16:59,2021-04-23 14:17:16,0 days 00:00:17
iTerm2,2021-04-23 14:18:15,2021-04-23 14:28:09,0 days 00:09:54
iTerm2,2021-04-23 14:20:10,2021-04-23 14:20:21,0 days 00:00:11
iTerm2,2021-04-23 14:20:21,2021-04-23 14:20:32,0 days 00:00:11
Slack,2021-04-23 14:29:35,2021-04-23 14:29:59,0 days 00:00:24
iTerm2,2021-04-23 14:30:12,2021-04-23 14:39:57,0 days 00:09:45
zoom.us,2021-04-23 14:34:58,2021-04-23 14:35:10,0 days 00:00:12
zoom.us,2021-04-23 14:35:10,2021-04-23 14:35:50,0 days 00:00:40
Slack,2021-04-23 14:35:36,2021-04-23 14:35:47,0 days 00:00:11
Slack,2021-04-23 14:42:03,2021-04-23 14:42:23,0 days 00:00:20
Harvest,2021-04-23 14:42:24,2021-04-23 14:47:14,0 days 00:04:50
zoom.us,2021-04-23 14:47:14,2021-04-23 14:56:01,0 days 00:08:47
Slack,2021-04-23 14:48:03,2021-04-23 14:48:16,0 days 00:00:13
Harvest,2021-04-23 14:48:17,2021-04-23 14:48:37,0 days 00:00:20
Slack,2021-04-23 14:50:31,2021-04-23 14:50:42,0 days 00:00:11
Slack,2021-04-23 14:50:43,2021-04-23 14:50:53,0 days 00:00:10
VSCode,2021-04-23 14:50:53,2021-04-23 14:51:53,0 days 00:01:00
